Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Final_Exam_Score
12.1,84.7,Medium,High,No,8.7,63.9,High,Yes,2.0,56.7
20.9,87.1,High,Low,Yes,5.8,84.7,High,Yes,0.0,62.4
19.7,94.4,Medium,High,No,7.8,83.3,High,Yes,2.0,68.8
22.1,73.9,Medium,Medium,No,5.6,57.2,High,Yes,3.0,59.7
17.3,69.4,Medium,High,No,9.3,79.5,High,Yes,2.0,63.0
29.2,76.2,High,Low,Yes,6.0,53.7,High,Yes,1.0,60.3
22.1,80.6,Medium,High,No,9.2,57.8,High,Yes,1.0,59.1
15.0,94.2,Medium,Low,Yes,4.8,67.7,High,Yes,4.0,62.4
14.7,84.3,Low,Medium,No,6.9,68.4,High,Yes,5.0,60.8
21.4,76.4,Low,High,No,6.4,67.8,High,Yes,2.0,66.6
18.4,64.0,Medium,Low,Yes,7.4,80.8,High,Yes,1.0,57.5
27.0,94.4,Medium,Low,Yes,6.4,52.8,High,Yes,1.0,64.4
11.2,66.5,High,Medium,Yes,8.5,92.0,High,No,0.0,60.9
9.6,81.3,Medium,Medium,No,7.2,61.1,High,Yes,0.0,48.6
24.4,95.5,Low,Medium,No,6.1,84.6,High,Yes,2.0,71.1
13.8,70.3,Low,Medium,Yes,8.0,74.8,High,Yes,2.0,58.4
26.4,75.4,Medium,Medium,Yes,4.0,82.3,High,Yes,1.0,67.8
19.0,65.0,Medium,Medium,Yes,8.1,90.7,High,Yes,2.0,63.8
23.5,85.5,High,High,Yes,9.3,77.2,High,Yes,2.0,67.8
16.7,61.3,High,High,Yes,4.3,61.5,High,Yes,0.0,51.9
23.0,91.7,Low,Medium,Yes,6.5,76.3,High,Yes,2.0,70.5
23.4,85.0,Medium,Low,Yes,7.2,98.2,High,Yes,3.0,74.3
16.5,85.4,Medium,Medium,Yes,9.0,52.8,High,Yes,1.0,47.8
20.9,71.2,Low,Medium,Yes,9.1,93.5,High,Yes,2.0,67.1
21.5,69.3,High,High,No,7.1,61.6,High,Yes,4.0,61.4
29.2,69.8,Medium,Low,Yes,7.2,70.5,High,Yes,1.0,68.3
17.6,82.1,Medium,High,Yes,7.8,76.6,High,Yes,2.0,58.9
17.2,89.4,High,Medium,Yes,7.4,60.0,High,Yes,0.0,53.8
30.9,79.4,High,Low,No,7.7,97.9,High,Yes,1.0,80.9
3.5,95.5,Low,High,No,6.0,80.6,High,Yes,4.0,62.4
23.1,77.7,Medium,Low,No,7.1,61.9,High,Yes,1.0,60.6
25.5,98.9,High,Medium,Yes,6.7,50.2,High,Yes,1.0,60.5
19.4,66.8,Medium,Medium,No,7.1,52.8,High,Yes,0.0,42.8
29.9,91.1,High,Low,No,5.8,55.2,High,Yes,2.0,69.9
25.0,77.1,Medium,High,No,6.6,71.2,High,Yes,1.0,58.3
25.5,76.8,High,Medium,Yes,9.3,90.8,High,Yes,2.0,66.3
17.1,91.6,High,Low,Yes,8.0,66.2,High,Yes,2.0,55.4
21.5,60.5,High,Medium,No,10.0,67.3,High,Yes,2.0,58.2
19.4,87.9,Medium,High,No,9.5,54.5,High,Yes,2.0,59.7
21.9,93.3,Low,Medium,Yes,7.0,76.0,High,Yes,1.0,77.5
18.6,68.6,Medium,High,No,7.1,87.0,High,Yes,0.0,67.0
17.0,63.9,Medium,Medium,Yes,7.5,74.1,High,Yes,1.0,61.2
24.6,90.6,Medium,Low,No,7.3,72.5,High,Yes,2.0,65.6
10.9,94.3,Low,Medium,Yes,7.1,58.1,High,Yes,1.0,57.0
26.2,94.1,Medium,Medium,No,7.2,52.2,High,Yes,1.0,59.8
37.1,93.6,Medium,Low,No,4.7,64.3,High,Yes,3.0,76.8
21.8,85.4,Medium,Medium,No,5.9,75.4,High,Yes,3.0,69.5
23.3,98.5,High,High,Yes,,67.4,High,Yes,1.0,69.5
15.9,97.9,Medium,Medium,Yes,6.0,91.5,High,Yes,2.0,72.9
13.3,85.2,Medium,Medium,No,4.1,72.1,High,Yes,0.0,57.9
9.9,86.7,High,Low,Yes,8.8,80.0,High,Yes,1.0,54.6
30.3,75.9,Medium,High,Yes,6.9,73.5,High,No,1.0,69.1
26.2,77.2,High,Low,No,8.2,50.4,High,Yes,2.0,52.4
25.4,72.9,High,Medium,No,7.0,94.0,High,Yes,0.0,68.1
23.5,97.1,Medium,Medium,Yes,6.0,60.5,High,Yes,3.0,63.4
19.5,84.4,Medium,Medium,No,6.7,69.0,High,Yes,0.0,59.0
27.0,81.3,Medium,High,Yes,9.9,86.1,High,Yes,0.0,70.8
4.1,73.3,Medium,Medium,Yes,8.4,76.5,High,Yes,1.0,53.5
8.8,72.9,Medium,Medium,Yes,7.9,93.0,High,Yes,0.0,55.9
13.1,63.8,Medium,Low,No,8.0,82.9,High,Yes,1.0,64.0
20.5,67.1,High,Medium,No,6.4,84.9,High,Yes,0.0,56.8
17.9,76.3,High,Medium,No,6.9,52.0,High,Yes,0.0,48.0
22.6,62.0,Low,Low,No,6.9,99.1,High,Yes,3.0,67.2
11.6,82.9,Medium,Medium,No,7.8,96.3,High,Yes,2.0,60.6
26.4,71.0,Medium,Medium,Yes,7.7,97.3,High,Yes,1.0,74.2
25.4,81.9,Low,High,No,8.9,93.3,High,No,2.0,75.9
16.4,65.7,High,High,Yes,5.5,56.6,High,Yes,2.0,55.2
9.5,94.4,Medium,Low,No,7.4,90.2,High,Yes,1.0,60.3
19.5,65.1,High,Low,No,7.6,95.6,High,Yes,1.0,65.2
21.2,97.8,Medium,Medium,Yes,5.9,67.4,High,Yes,2.0,68.6
24.6,93.1,High,Medium,Yes,5.3,63.5,High,Yes,1.0,61.5
18.6,93.2,High,Low,Yes,6.1,93.4,High,Yes,4.0,66.5
22.6,91.5,Medium,Medium,,7.2,71.9,High,Yes,2.0,67.7
24.0,98.8,Medium,High,Yes,5.4,82.3,High,Yes,1.0,78.4
21.3,73.6,Medium,High,Yes,8.2,74.8,High,Yes,0.0,62.8
22.0,96.5,High,Low,Yes,6.8,86.6,High,Yes,1.0,71.5
20.2,60.5,Medium,Low,Yes,7.5,95.9,High,Yes,1.0,68.9
19.2,60.5,High,Low,Yes,5.0,76.5,High,Yes,4.0,62.1
23.1,97.5,High,High,Yes,8.0,84.2,High,Yes,0.0,77.1
13.3,91.6,Medium,Medium,No,6.4,80.5,High,Yes,1.0,63.8
19.6,66.4,Medium,High,Yes,8.0,92.4,High,Yes,0.0,62.7
23.0,68.0,Medium,Medium,Yes,8.5,69.7,High,Yes,2.0,60.7
25.9,72.6,Medium,Medium,Yes,5.2,100.0,High,Yes,1.0,70.3
12.1,76.8,Medium,Low,No,6.0,54.6,High,Yes,0.0,49.4
15.5,72.9,Medium,High,Yes,6.1,97.2,High,Yes,0.0,72.8
24.2,67.7,Low,Medium,No,5.8,97.7,High,Yes,2.0,71.9
22.5,64.7,Medium,High,No,5.2,58.2,High,Yes,2.0,57.9
18.2,100.0,Medium,High,Yes,7.4,66.7,High,Yes,3.0,62.4
25.1,68.5,High,High,Yes,6.5,51.7,High,Yes,1.0,60.0
14.3,72.3,Medium,Low,No,5.7,94.5,High,Yes,3.0,65.7
15.3,83.7,Low,Medium,Yes,6.2,90.5,High,Yes,0.0,64.9
18.0,93.9,High,Low,No,8.5,59.0,High,Yes,0.0,60.1
24.3,74.9,Low,,Yes,6.4,50.4,High,Yes,2.0,56.0
25.5,92.8,Medium,Medium,Yes,6.2,93.0,High,Yes,2.0,82.8
15.2,98.0,High,High,Yes,9.4,61.2,High,No,2.0,67.9
19.7,69.1,Medium,High,No,8.5,84.4,High,Yes,2.0,67.7
25.4,72.2,Low,Low,Yes,7.1,86.9,High,Yes,1.0,66.4
28.6,81.7,Medium,Low,Yes,6.8,51.8,High,Yes,2.0,50.7
19.0,79.5,High,Medium,No,6.1,62.2,High,Yes,1.0,53.9
26.0,77.0,,High,Yes,5.5,98.6,High,Yes,2.0,79.8
19.4,79.1,Medium,Low,Yes,5.6,95.4,High,Yes,1.0,74.7
18.8,87.7,Medium,High,No,6.1,74.1,High,Yes,2.0,67.7
26.4,73.0,Medium,High,Yes,6.4,62.3,High,Yes,4.0,63.9
23.6,87.2,Medium,Low,Yes,7.5,92.2,High,Yes,2.0,76.4
28.9,90.6,Medium,Medium,No,9.3,62.1,High,No,3.0,68.2
20.1,89.0,Low,Medium,No,9.9,93.1,High,Yes,2.0,75.4
25.0,99.5,Low,High,No,6.4,84.9,High,Yes,3.0,73.5
26.8,60.9,High,Medium,Yes,5.7,93.9,High,Yes,2.0,76.5
26.8,73.7,Medium,High,Yes,6.1,51.7,High,Yes,0.0,60.7
17.3,88.9,Low,Medium,Yes,7.9,51.6,High,Yes,1.0,49.0
11.9,76.5,Medium,Low,Yes,7.4,92.6,High,No,0.0,60.0
24.7,75.5,Medium,Medium,Yes,6.6,86.4,High,Yes,1.0,64.1
13.5,72.2,High,Medium,Yes,4.6,80.3,High,Yes,4.0,63.5
21.8,69.2,Medium,Low,Yes,7.2,89.0,High,Yes,1.0,69.5
17.2,88.6,Medium,Low,No,7.7,65.3,High,Yes,0.0,55.9
29.7,70.3,Medium,High,Yes,7.3,70.2,High,Yes,1.0,69.1
25.0,83.2,Medium,Medium,No,5.4,60.8,High,Yes,1.0,53.9
25.8,65.6,Medium,Medium,No,4.9,85.9,High,Yes,5.0,71.9
17.3,79.0,Medium,Medium,Yes,7.4,57.5,High,Yes,1.0,48.2
21.3,77.1,High,High,No,7.6,73.5,High,Yes,2.0,65.0
26.6,90.3,Low,High,No,9.3,96.3,High,Yes,3.0,80.9
28.2,83.6,High,Medium,Yes,9.7,59.5,High,No,3.0,65.9
3.0,84.1,Low,Medium,Yes,5.7,97.5,High,Yes,2.0,64.5
25.5,98.5,High,High,Yes,6.0,78.1,High,Yes,1.0,72.7
21.8,84.0,High,High,Yes,6.9,82.0,High,Yes,0.0,72.0
21.4,92.4,Low,High,No,6.8,87.5,High,Yes,1.0,79.5
13.7,77.4,Medium,High,Yes,6.7,68.1,High,Yes,0.0,55.7
30.5,99.5,Medium,Medium,Yes,4.0,96.3,High,Yes,1.0,84.2
19.4,93.4,High,Medium,Yes,6.9,93.4,High,Yes,1.0,75.1
23.6,88.7,Low,Medium,No,7.1,88.1,High,Yes,5.0,76.4
23.0,85.4,Medium,Medium,No,7.2,82.2,High,Yes,0.0,65.7
14.4,83.4,Medium,Low,Yes,6.2,64.2,High,Yes,3.0,55.0
23.8,68.2,Low,Medium,Yes,7.4,80.0,High,Yes,1.0,64.2
22.1,69.5,Medium,High,No,5.2,64.2,High,Yes,1.0,64.6
23.7,84.2,Medium,High,Yes,5.8,88.3,High,Yes,0.0,71.4
25.2,71.6,Medium,Medium,Yes,9.1,83.0,High,Yes,2.0,64.3
21.0,72.5,Medium,Medium,Yes,7.9,90.9,High,Yes,1.0,72.6
21.4,64.0,Medium,Medium,No,9.0,82.7,High,Yes,2.0,64.3
16.5,98.7,Medium,High,Yes,8.3,95.2,High,Yes,0.0,69.6
11.3,88.2,Low,Medium,No,9.8,,High,Yes,0.0,63.6
21.0,93.2,Medium,High,Yes,8.1,72.9,High,Yes,2.0,69.4
15.7,97.5,Medium,Medium,No,6.5,75.8,High,Yes,,64.9
25.8,71.6,Low,High,Yes,5.6,63.7,High,Yes,2.0,63.8
12.2,89.6,Medium,Low,Yes,9.5,66.6,High,Yes,1.0,54.1
25.6,64.6,High,Medium,Yes,8.2,78.5,High,Yes,0.0,64.1
15.2,78.7,High,Medium,No,9.1,92.0,High,Yes,0.0,61.2
22.3,83.4,Medium,Medium,No,7.5,69.6,High,No,4.0,65.7
8.6,99.1,Medium,Low,Yes,8.3,66.2,High,No,2.0,51.7
24.4,63.4,Medium,Medium,No,8.0,60.9,High,Yes,1.0,55.4
9.2,86.5,High,Medium,No,8.1,83.1,High,Yes,0.0,50.3
15.4,65.2,High,Medium,No,7.8,86.7,High,Yes,2.0,66.1
18.8,73.6,High,High,Yes,6.6,83.4,High,Yes,1.0,60.6
18.0,73.7,Low,High,No,6.7,92.8,High,,3.0,65.8
27.1,68.4,High,High,No,6.4,55.3,High,Yes,1.0,58.6
22.0,76.6,Medium,Medium,Yes,8.6,71.3,High,Yes,2.0,68.4
19.5,78.8,Medium,High,Yes,6.4,71.9,High,Yes,2.0,70.9
22.7,64.1,High,Low,No,6.4,60.8,High,Yes,2.0,54.3
20.0,87.4,High,High,Yes,9.3,64.1,High,Yes,2.0,60.5
12.8,97.4,High,Medium,No,6.0,75.8,High,Yes,2.0,67.5
29.4,77.3,High,Low,Yes,7.6,70.8,High,Yes,3.0,65.7
21.0,60.7,Medium,Low,Yes,5.7,84.6,High,Yes,0.0,54.8
18.0,65.4,Medium,High,Yes,8.5,86.8,High,Yes,1.0,71.6
23.3,74.7,High,High,Yes,7.6,94.4,High,,0.0,67.8
13.9,75.3,Low,Low,Yes,8.0,67.1,High,Yes,0.0,54.8
16.4,98.4,Low,Low,No,4.5,80.7,High,Yes,,71.3
28.4,61.4,Medium,Low,Yes,5.8,81.5,High,Yes,1.0,69.2
33.5,63.9,High,High,No,6.2,50.4,High,Yes,5.0,65.0
16.1,94.3,High,High,Yes,7.2,86.5,High,Yes,2.0,78.2
23.7,83.5,High,High,Yes,6.5,95.5,High,Yes,,78.3
14.6,81.2,Medium,Medium,Yes,4.0,54.7,High,Yes,4.0,56.9
24.5,64.9,High,Medium,No,6.4,74.4,High,Yes,1.0,60.7
20.6,92.4,High,Medium,Yes,7.6,63.3,High,Yes,1.0,55.6
23.5,69.1,Medium,High,No,8.9,68.5,High,Yes,1.0,64.7
29.0,64.6,Medium,Low,Yes,5.6,54.5,High,Yes,2.0,62.8
21.7,97.2,High,Medium,No,7.8,63.5,High,Yes,2.0,64.5
26.6,78.6,High,Medium,Yes,5.0,95.4,High,Yes,2.0,68.3
20.1,94.7,Medium,Medium,No,6.0,85.9,High,Yes,1.0,75.3
15.7,,High,Medium,No,5.5,95.2,High,Yes,3.0,67.8
29.0,71.4,Medium,Medium,No,8.5,78.4,High,Yes,3.0,66.5
16.0,72.9,Medium,High,Yes,6.3,91.8,High,Yes,0.0,69.1
19.1,67.2,Medium,Medium,Yes,6.0,62.9,High,Yes,1.0,54.1
21.8,64.9,Medium,Low,Yes,6.5,64.2,High,No,0.0,54.8
13.4,79.2,Medium,Medium,No,8.6,81.9,High,Yes,0.0,62.5
23.8,60.8,Low,Medium,Yes,8.1,90.3,High,Yes,1.0,74.4
16.7,65.5,Low,High,Yes,6.9,72.4,High,Yes,0.0,56.6
27.2,94.2,High,Medium,No,8.2,98.3,High,Yes,1.0,77.5
31.9,68.2,Medium,Low,Yes,6.8,78.5,High,Yes,0.0,63.4
10.4,75.5,Medium,Medium,Yes,9.8,62.4,High,Yes,1.0,51.6
23.1,64.4,High,Medium,No,6.7,80.5,High,Yes,1.0,59.7
29.3,95.4,High,High,No,6.1,65.9,High,Yes,1.0,66.3
15.3,87.3,,High,No,6.6,88.0,High,Yes,3.0,78.8
23.4,60.8,Low,Medium,No,9.7,86.9,High,Yes,4.0,75.3
21.9,96.4,Medium,Medium,No,6.3,51.4,High,Yes,1.0,53.5
16.3,66.1,Low,High,Yes,6.8,52.7,High,Yes,2.0,48.2
19.7,80.8,Medium,Low,Yes,8.9,51.5,High,Yes,2.0,55.4
20.8,92.2,Medium,High,Yes,5.2,56.2,High,Yes,1.0,57.9
20.9,98.3,High,Medium,Yes,8.2,70.2,High,Yes,1.0,68.4
23.3,84.6,High,Low,No,6.3,50.9,High,Yes,1.0,54.2
22.7,81.1,High,Medium,Yes,5.3,51.8,High,Yes,3.0,58.2
16.4,74.3,High,Medium,No,6.3,52.6,High,Yes,5.0,58.5
14.8,81.8,Low,Low,Yes,8.7,85.3,High,Yes,2.0,65.4
24.5,78.7,Medium,Medium,Yes,7.0,79.4,High,Yes,2.0,62.7
19.7,95.5,Medium,High,No,6.1,92.2,High,No,2.0,72.0
24.8,76.7,,High,Yes,10.0,50.3,High,Yes,1.0,61.0
25.9,96.7,Medium,Medium,Yes,9.1,61.4,High,Yes,1.0,69.8
14.2,85.5,Medium,Medium,Yes,7.5,98.5,High,No,3.0,70.8
18.3,84.7,Low,High,Yes,6.7,75.2,High,Yes,0.0,61.2
26.9,63.0,Low,Medium,Yes,6.2,54.1,High,Yes,2.0,65.8
17.0,62.9,Medium,High,Yes,7.4,69.0,High,Yes,4.0,61.0
26.8,80.5,Medium,Low,Yes,8.1,62.8,High,Yes,1.0,63.4
24.5,60.1,Medium,High,Yes,8.2,73.2,High,Yes,2.0,67.8
18.7,86.2,Medium,Medium,Yes,8.4,86.7,High,Yes,,68.2
28.9,76.9,High,Medium,No,6.4,63.5,High,Yes,3.0,62.5
25.5,81.7,High,High,Yes,6.9,94.3,High,Yes,0.0,72.2
19.2,85.3,Medium,High,No,5.9,82.9,High,No,1.0,61.4
26.7,75.7,High,High,Yes,8.1,55.2,High,Yes,3.0,58.5
17.2,97.7,Medium,Medium,Yes,7.1,56.7,High,Yes,2.0,60.4
26.6,99.5,Medium,Medium,Yes,8.2,80.7,High,Yes,1.0,77.5
22.8,74.7,High,Medium,No,7.6,84.6,High,Yes,2.0,68.3
15.1,82.8,,Medium,Yes,8.0,57.8,High,Yes,1.0,55.9
17.3,82.2,Medium,Medium,Yes,6.6,63.2,High,Yes,1.0,52.0
24.5,65.1,Medium,Medium,Yes,7.7,76.3,High,Yes,0.0,66.7
16.9,67.1,Medium,Medium,Yes,5.6,50.8,High,Yes,2.0,43.9
17.3,97.5,Low,Medium,Yes,6.3,95.7,High,Yes,1.0,67.9
19.8,93.2,Medium,Medium,No,7.4,56.6,High,Yes,1.0,58.1
16.4,75.0,Medium,High,Yes,5.1,57.7,High,Yes,1.0,53.0
13.1,81.6,High,Medium,Yes,7.3,50.7,High,Yes,1.0,42.6
19.2,68.8,Medium,Low,Yes,8.3,57.3,High,Yes,0.0,47.6
28.2,95.2,Medium,Medium,Yes,6.5,92.0,High,No,3.0,72.0
13.7,84.5,High,Medium,Yes,9.1,67.7,High,Yes,1.0,55.5
21.1,83.3,Medium,Medium,Yes,8.2,91.5,High,Yes,2.0,71.5
28.7,91.6,High,Medium,Yes,7.6,72.8,High,Yes,0.0,64.0
28.1,78.0,Medium,High,No,6.0,95.9,High,Yes,0.0,74.5
17.1,67.0,High,Medium,Yes,7.2,74.2,High,Yes,2.0,66.5
26.2,74.4,High,Medium,Yes,6.1,92.1,High,Yes,0.0,73.4
27.3,86.3,Medium,Medium,No,6.6,74.4,High,Yes,4.0,70.6
16.0,66.4,Medium,Medium,Yes,8.2,85.6,High,Yes,4.0,59.8
28.7,73.0,Medium,High,No,8.3,56.6,High,Yes,1.0,63.4
18.4,87.8,Medium,High,No,6.8,59.3,High,Yes,1.0,54.1
21.5,80.8,High,High,No,7.7,64.6,High,Yes,4.0,67.3
10.2,81.1,Medium,Medium,No,7.2,95.9,High,Yes,2.0,65.0
18.0,93.9,Medium,High,Yes,7.2,61.4,High,Yes,1.0,62.5
24.8,70.0,Low,Medium,No,6.8,59.1,High,Yes,3.0,64.1
24.7,78.3,Low,Medium,No,8.4,91.8,High,Yes,0.0,75.7
18.4,98.2,Medium,Low,Yes,7.5,68.9,High,Yes,0.0,59.4
28.9,86.8,High,Low,No,6.8,71.1,High,No,0.0,61.7
,87.7,Medium,High,Yes,6.4,61.8,High,Yes,1.0,58.4
7.6,74.6,Medium,Medium,Yes,7.3,78.9,High,Yes,2.0,52.4
22.5,73.9,Medium,High,Yes,6.7,62.6,High,Yes,3.0,64.8
19.4,84.5,High,High,Yes,4.7,51.3,High,Yes,2.0,54.8
20.4,,High,Medium,Yes,8.2,85.3,High,Yes,4.0,64.4
20.2,61.7,High,High,No,7.6,51.4,High,No,2.0,53.2
20.8,75.6,Medium,,Yes,7.2,58.4,High,Yes,3.0,60.1
20.7,65.8,Low,Low,Yes,8.4,71.1,High,Yes,0.0,53.7
29.7,,Medium,Medium,No,4.0,57.5,High,Yes,1.0,70.0
27.5,63.5,Low,High,No,6.9,88.1,High,Yes,1.0,71.0
18.1,89.9,High,Low,No,7.7,56.2,High,Yes,1.0,50.9
8.2,80.3,Medium,Low,No,5.8,75.9,High,Yes,5.0,63.4
14.0,73.2,High,High,Yes,5.1,76.3,High,Yes,0.0,64.9
18.5,95.2,High,Medium,No,6.6,88.7,High,Yes,0.0,62.3
26.3,94.5,Low,Medium,No,7.6,80.6,High,Yes,3.0,67.8
17.5,97.7,High,Low,Yes,7.3,56.3,High,Yes,3.0,61.8
21.7,92.7,Low,Medium,Yes,7.4,64.2,High,Yes,2.0,59.5
25.1,87.4,,Medium,No,7.8,89.1,High,Yes,1.0,64.2
23.5,81.3,High,Medium,No,6.0,68.5,High,Yes,0.0,60.4
22.6,62.9,Medium,Medium,No,10.0,79.6,High,Yes,1.0,57.9
22.2,99.4,High,Low,No,8.3,61.8,High,Yes,1.0,57.7
25.0,70.1,High,Medium,Yes,6.9,88.1,High,Yes,4.0,75.9
24.8,68.1,Medium,Low,Yes,9.3,82.5,High,Yes,3.0,66.0
25.3,81.2,Medium,Medium,Yes,4.9,95.2,High,Yes,3.0,72.8
14.6,79.8,Medium,Medium,No,6.3,56.8,High,Yes,1.0,55.6
12.4,63.8,Medium,High,No,5.9,70.2,High,No,1.0,54.0
23.5,88.7,Medium,Medium,Yes,8.7,73.6,High,Yes,3.0,73.5
20.8,74.8,High,Low,Yes,6.1,70.7,High,Yes,1.0,54.7
9.2,87.2,Medium,High,Yes,8.4,71.9,High,No,2.0,58.1
21.7,90.1,Medium,Medium,Yes,8.1,63.9,High,Yes,2.0,55.4
25.8,71.9,Low,Medium,Yes,6.5,55.6,High,Yes,2.0,65.6
9.2,61.8,Medium,High,No,8.4,71.7,High,Yes,0.0,48.1
9.0,81.5,Low,Low,Yes,6.8,62.2,High,Yes,2.0,53.2
,91.3,Low,Medium,Yes,4.6,61.3,High,Yes,3.0,61.1
27.6,87.0,Low,Medium,No,8.5,98.4,High,Yes,2.0,76.4
25.9,69.8,Medium,Medium,Yes,5.1,69.1,High,Yes,0.0,54.3
34.8,75.5,Low,Low,Yes,6.1,90.0,High,Yes,1.0,72.1
20.7,91.1,Medium,High,No,7.1,88.4,High,Yes,1.0,73.1
18.4,94.3,Medium,Low,Yes,8.1,62.6,High,No,2.0,57.0
29.0,60.8,Medium,Medium,Yes,8.7,82.9,High,No,1.0,63.1
15.8,83.4,Medium,Medium,Yes,7.8,59.7,High,No,0.0,54.5
22.7,97.1,Medium,Low,Yes,4.5,84.9,High,Yes,1.0,71.6
11.8,77.3,,Low,Yes,7.4,84.9,High,Yes,3.0,61.0
26.6,67.4,Medium,High,Yes,7.9,56.1,High,No,1.0,59.8
22.2,61.0,Medium,High,Yes,6.1,81.4,High,Yes,1.0,58.2
29.3,76.6,Medium,Medium,Yes,7.3,92.4,High,Yes,1.0,76.2
9.0,77.6,Medium,Medium,Yes,8.7,86.1,High,Yes,3.0,63.1
23.2,90.3,Medium,Medium,Yes,8.4,79.0,High,Yes,3.0,74.8
18.3,79.3,High,Low,Yes,4.6,83.4,High,Yes,2.0,63.4
16.3,83.8,Low,Medium,No,6.8,56.3,High,Yes,0.0,53.8
32.2,94.1,Low,Medium,Yes,7.1,85.8,High,Yes,2.0,79.5
8.0,90.2,Medium,Low,Yes,8.3,82.4,High,Yes,4.0,64.6
13.4,93.5,Medium,High,Yes,5.9,74.0,High,Yes,2.0,64.7
13.1,78.4,Medium,Low,Yes,7.4,65.7,High,Yes,1.0,49.5
29.6,87.8,Medium,Medium,Yes,7.5,97.0,High,No,1.0,75.9
15.5,99.7,Medium,Medium,No,6.1,83.6,High,Yes,1.0,67.9
15.5,73.1,High,Medium,Yes,6.1,78.3,High,Yes,0.0,58.3
24.7,90.6,Low,Medium,No,6.8,64.0,High,Yes,4.0,63.0
25.3,65.8,Low,Medium,Yes,6.5,62.4,High,Yes,1.0,53.7
22.3,63.4,Medium,High,No,5.5,91.8,High,Yes,1.0,68.3
14.7,80.5,Medium,Medium,Yes,8.6,52.8,High,Yes,1.0,49.7
25.7,82.3,Medium,Medium,Yes,7.0,88.6,High,Yes,4.0,78.7
16.9,93.7,High,Medium,Yes,6.8,99.5,High,Yes,3.0,78.1
15.9,69.2,Medium,High,No,5.0,56.4,High,Yes,1.0,56.0
26.2,76.8,Medium,Medium,Yes,4.9,77.1,High,Yes,0.0,64.5
18.4,95.5,High,Medium,No,8.1,58.1,High,Yes,0.0,60.4
19.1,91.2,Low,High,No,8.7,51.1,High,No,0.0,55.9
24.8,75.5,Medium,High,No,7.7,95.5,High,Yes,3.0,79.4
14.4,99.8,High,Medium,Yes,8.2,50.6,High,Yes,2.0,61.5
14.5,64.6,Medium,Medium,Yes,7.0,54.8,High,Yes,2.0,47.8
20.2,69.3,High,High,Yes,6.7,66.3,High,Yes,2.0,55.7
23.5,64.4,Medium,Medium,Yes,9.2,96.7,High,Yes,0.0,69.0
23.6,62.1,High,Medium,No,7.5,57.2,High,Yes,1.0,53.4
19.0,83.1,Medium,High,Yes,5.7,89.5,High,Yes,0.0,74.4
16.8,60.7,Low,Low,No,9.3,66.5,High,Yes,0.0,46.3
20.7,68.2,High,Low,No,7.7,61.2,High,Yes,1.0,51.5
10.0,66.0,Low,Medium,Yes,10.0,96.7,High,Yes,3.0,64.6
26.3,93.3,Medium,Low,No,6.8,87.0,High,Yes,3.0,76.2
21.3,81.3,Low,High,Yes,6.0,69.9,High,Yes,1.0,66.3
22.0,73.1,Medium,High,Yes,8.8,80.7,High,Yes,2.0,73.6
9.6,87.8,Low,Low,Yes,8.2,98.8,High,Yes,2.0,66.7
18.3,91.4,Medium,High,Yes,7.7,60.0,High,Yes,4.0,63.5
17.2,95.8,Medium,Medium,Yes,9.9,64.0,High,Yes,0.0,56.7
18.7,89.4,Medium,Low,Yes,8.7,99.6,High,Yes,1.0,70.3
15.6,95.1,High,Medium,Yes,5.5,74.3,High,Yes,2.0,62.8
23.2,90.3,Medium,Medium,Yes,5.2,76.7,High,Yes,2.0,73.1
25.0,85.1,High,High,No,6.4,56.0,High,Yes,4.0,57.4
12.0,77.4,Low,High,Yes,6.9,75.8,High,Yes,3.0,63.3
23.5,99.9,High,Medium,No,7.4,59.3,High,Yes,0.0,63.8
15.0,90.0,Medium,Medium,Yes,8.2,78.3,High,Yes,3.0,65.4
27.0,91.4,High,Medium,Yes,7.1,77.3,High,Yes,2.0,59.1
21.6,95.7,Low,High,No,4.9,98.4,High,Yes,1.0,85.4
23.4,94.7,High,Medium,No,7.1,86.8,High,Yes,1.0,73.0
26.2,66.9,Medium,Medium,Yes,6.6,57.9,High,Yes,2.0,53.6
31.6,75.5,Medium,Medium,Yes,7.8,78.4,High,Yes,1.0,65.4
19.0,78.2,Medium,High,No,7.8,77.0,High,Yes,2.0,66.8
21.4,96.8,High,Low,Yes,9.0,56.4,High,Yes,1.0,56.6
20.8,80.1,High,Medium,No,7.4,88.1,High,Yes,3.0,68.7
23.5,64.3,,Low,Yes,7.6,64.2,High,Yes,3.0,58.1
21.0,60.2,Medium,Low,No,7.0,54.3,High,Yes,1.0,47.1
27.0,66.9,,Medium,No,6.0,72.8,High,Yes,2.0,65.9
16.6,60.8,Medium,Medium,Yes,7.1,68.0,High,Yes,2.0,55.6
20.3,76.7,Low,Medium,Yes,8.1,82.5,High,Yes,0.0,63.6
19.9,81.7,Low,High,Yes,6.2,68.6,High,Yes,2.0,58.9
25.0,64.6,Low,High,No,6.4,77.9,High,Yes,1.0,64.5
31.4,92.5,Medium,Medium,No,7.3,80.2,High,Yes,0.0,69.2
15.0,90.7,High,Medium,Yes,7.8,76.2,High,Yes,2.0,62.8
